date_local,daily_avg,n_obs,n_sites
1991-08-16,0.022045142857142857,7,5
1991-08-17,0.03495828571428571,7,5
1991-08-18,0.035803714285714286,7,5
1991-08-19,0.016601428571428573,7,5
1991-08-20,0.028053714285714286,7,5
1991-08-21,0.029363,7,5
1991-08-22,0.03,7,5
1991-08-23,0.03541071428571429,7,5
1991-08-24,0.03497928571428571,7,5
1991-08-25,0.033982,7,5
1991-08-26,0.032494,7,5
1991-08-27,0.02926714285714286,7,5
1991-08-28,0.02631757142857143,7,5
1991-08-29,0.02508942857142857,7,5
1991-08-30,0.03186914285714286,7,5
1991-08-31,0.03679771428571429,7,5
1991-09-01,0.039654714285714286,7,5
1991-09-02,0.031726,7,5
1991-09-03,0.02405957142857143,7,5
1991-09-04,0.02344042857142857,7,5
1991-09-05,0.03375014285714286,7,5
1991-09-06,0.020427714285714285,7,5
1991-09-07,0.019952285714285714,7,5
1991-09-08,0.027696571428571428,7,5
1991-09-09,0.028738142857142858,7,5
1991-09-10,0.023416714285714287,7,5
1991-09-11,0.02488357142857143,7,5
1991-09-12,0.02494057142857143,7,5
1991-09-13,0.018722333333333334,6,4
1991-09-14,0.034889,6,4
1991-09-15,0.03171533333333333,6,4
1991-09-16,0.024132,6,4
1991-09-17,0.025791666666666668,6,4
1991-09-18,0.010361166666666666,6,4
1991-09-19,0.0163265,6,4
1991-09-20,0.022479166666666668,6,4
1991-09-21,0.03109716666666667,6,4
1991-09-22,0.025145666666666667,6,4
1991-09-23,0.0171035,6,4
1991-09-24,0.018498,6,4
1991-09-25,0.01873616666666667,6,4
1991-09-26,0.018534833333333334,6,4
1991-09-27,0.02285416666666667,6,4
1991-09-28,0.024132166666666666,6,4
1991-09-29,0.028979166666666667,6,4
1991-09-30,0.011755857142857143,7,5
1991-10-01,0.026012,7,5
1991-10-02,0.025427428571428573,7,5
1991-10-03,0.029639142857142857,7,5
1991-10-04,0.011395833333333334,6,4
1991-10-05,0.0165555,6,4
1991-10-06,0.019916666666666666,6,4
1991-10-07,0.018794285714285715,7,5
1991-10-08,0.019835571428571428,7,5
1991-10-09,0.018092857142857143,7,5
1991-10-10,0.018980285714285713,7,5
